artist,bucket,jobs_count
Anastasia,00-10,41
Anastasia,11-20,143
Anastasia,21-30,27
Anastasia,31-40,18
Anastasia,41-50,8
Anastasia,51-60,1
Anastasia,61-70,2
Anastasia,91-100,1
Anastasia,z100+,3
Elena N.,00-10,67
Elena N.,11-20,153
Elena N.,21-30,255
Elena N.,31-40,33
Elena N.,41-50,38
Elena N.,51-60,15
Elena N.,61-70,54
Elena N.,71-80,61
Elena N.,81-90,11
Elena N.,91-100,21
Elena N.,z100+,71
Elena P.,00-10,329
Elena P.,11-20,557
Elena P.,21-30,105
Elena P.,31-40,126
Elena P.,41-50,172
Elena P.,51-60,38
Elena P.,61-70,156
Elena P.,71-80,20
Elena P.,81-90,58
Elena P.,91-100,35
Elena P.,z100+,51
Fedosey,00-10,70
Fedosey,11-20,14
Fedosey,21-30,70
Fedosey,31-40,56
Fedosey,41-50,40
Fedosey,51-60,60
Fedosey,61-70,11
Fedosey,71-80,73
Fedosey,81-90,30
Fedosey,91-100,50
Fedosey,z100+,237
Ksenia,00-10,117
Ksenia,11-20,43
Ksenia,21-30,72
Ksenia,31-40,20
Ksenia,41-50,30
Ksenia,51-60,14
Ksenia,61-70,10
Ksenia,71-80,12
Ksenia,81-90,1
Ksenia,91-100,14
Ksenia,z100+,33
Maksim,00-10,58
Maksim,11-20,44
Maksim,21-30,113
Maksim,31-40,46
Maksim,41-50,114
Maksim,51-60,49
Maksim,61-70,58
Maksim,71-80,48
Maksim,81-90,16
Maksim,91-100,33
Maksim,z100+,60
Oksana,00-10,765
Oksana,11-20,248
Oksana,21-30,66
Oksana,31-40,12
Oksana,41-50,11
Oksana,51-60,2
Oksana,61-70,6
Oksana,71-80,3
Oksana,81-90,2
Oksana,91-100,5
Oksana,z100+,21
Olga B,00-10,98
Olga B,11-20,43
Olga B,21-30,159
Olga B,31-40,41
Olga B,41-50,147
Olga B,51-60,80
Olga B,61-70,77
Olga B,71-80,93
Olga B,81-90,44
Olga B,91-100,77
Olga B,z100+,113
Yulia,00-10,97
Yulia,11-20,176
Yulia,21-30,61
Yulia,31-40,27
Yulia,41-50,15
Yulia,51-60,7
Yulia,61-70,9
Yulia,81-90,1
Yulia,z100+,9
